epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.67484,1.26219,4.05219,1.69852,0.00344,0.29167,0.09364,0.06606,1.23946,4.01631,2.06925,0.00011,0.00011,0.00011
2,14.5579,0.97397,3.32993,1.44775,0.61246,0.23594,0.36058,0.26226,0.82231,2.64112,1.53106,0.000228861,0.000228861,0.000228861
3,20.1229,0.91213,2.85517,1.34988,0.36223,0.75,0.56096,0.41104,0.8073,2.05312,1.38411,0.000346535,0.000346535,0.000346535
4,25.6798,0.87357,2.61253,1.27724,0.37025,0.72917,0.57462,0.43414,0.80415,2.02881,1.39502,0.00046302,0.00046302,0.00046302
5,31.3534,0.79624,2.11484,1.21883,0.52879,0.86101,0.6509,0.50741,0.72939,1.61441,1.31019,0.000578318,0.000578318,0.000578318
6,40.2162,0.768,1.91436,1.28288,0.40842,0.54988,0.41019,0.33516,0.66565,1.62197,1.29307,0.000692427,0.000692427,0.000692427
7,46.4268,0.77394,1.86476,1.24567,0.62786,0.67998,0.6225,0.51508,0.66565,1.62197,1.29307,0.000805349,0.000805349,0.000805349
8,56.0765,0.72596,1.66366,1.1564,0.62296,0.52083,0.52111,0.42716,0.67197,1.6826,1.31626,0.000917082,0.000917082,0.000917082
9,62.1038,0.71795,1.57897,1.18285,0.54468,0.84095,0.68101,0.553,0.68764,1.64181,1.44105,0.0009604,0.0009604,0.0009604
10,67.7323,0.70002,1.5585,1.24363,0.6198,0.94119,0.75985,0.63056,0.63827,1.1695,1.48365,0.00095545,0.00095545,0.00095545
11,73.2751,0.71294,1.40608,1.26778,0.6198,0.94119,0.75985,0.63056,0.63827,1.1695,1.48365,0.0009505,0.0009505,0.0009505
12,78.7539,0.68439,1.34061,1.16069,0.62107,0.97685,0.86344,0.74247,0.59955,1.05802,1.38828,0.00094555,0.00094555,0.00094555
13,84.2338,0.67297,1.23209,1.16865,0.7947,0.96244,0.91733,0.78786,0.60262,0.85117,1.32538,0.0009406,0.0009406,0.0009406
14,89.7083,0.65837,1.11652,1.2101,0.89449,0.99062,0.9686,0.84879,0.58127,0.7297,1.30669,0.00093565,0.00093565,0.00093565
15,95.1194,0.62483,0.99497,1.19017,0.89449,0.99062,0.9686,0.84879,0.58127,0.7297,1.30669,0.0009307,0.0009307,0.0009307
16,100.58,0.60359,0.95214,1.15024,0.95864,1,0.99037,0.87558,0.56631,0.66908,1.2903,0.00092575,0.00092575,0.00092575
17,106.081,0.63995,0.88571,1.19137,0.95234,0.99088,0.995,0.88596,0.55622,0.61105,1.27546,0.0009208,0.0009208,0.0009208
18,112.067,0.60694,0.79348,1.13028,0.98043,1,0.995,0.88235,0.53371,0.55136,1.30228,0.00091585,0.00091585,0.00091585
19,116.987,0.59915,0.77556,1.2527,0.98043,1,0.995,0.88235,0.53371,0.55136,1.30228,0.0009109,0.0009109,0.0009109
20,121.937,0.61266,0.76852,1.24597,0.97121,0.99436,0.995,0.88277,0.53671,0.53749,1.35535,0.00090595,0.00090595,0.00090595
21,126.918,0.60205,0.72269,1.19141,0.97429,1,0.995,0.88813,0.53809,0.54386,1.33965,0.000901,0.000901,0.000901
22,131.973,0.56663,0.69263,1.07198,0.98933,1,0.995,0.8645,0.53167,0.5518,1.33112,0.00089605,0.00089605,0.00089605
23,136.797,0.53573,0.64739,1.06555,0.98933,1,0.995,0.8645,0.53167,0.5518,1.33112,0.0008911,0.0008911,0.0008911
24,141.697,0.55457,0.63939,1.0825,0.98488,0.99663,0.995,0.88482,0.51386,0.53033,1.33697,0.00088615,0.00088615,0.00088615
25,146.564,0.5529,0.65749,1.14077,0.98844,1,0.995,0.89284,0.49577,0.52411,1.29693,0.0008812,0.0008812,0.0008812
26,152.04,0.55986,0.62158,1.0664,0.99203,1,0.995,0.90044,0.50193,0.48744,1.25894,0.00087625,0.00087625,0.00087625
27,157.473,0.57044,0.6247,1.11359,0.99203,1,0.995,0.90044,0.50193,0.48744,1.25894,0.0008713,0.0008713,0.0008713
28,162.827,0.5552,0.58804,1.08741,0.98796,1,0.995,0.90691,0.48623,0.46257,1.25694,0.00086635,0.00086635,0.00086635
29,168.167,0.53464,0.5654,1.11556,0.96743,0.99961,0.995,0.90912,0.48107,0.44483,1.29721,0.0008614,0.0008614,0.0008614
30,173.321,0.55167,0.55933,1.12905,0.97245,0.98057,0.995,0.90931,0.47889,0.43834,1.2897,0.00085645,0.00085645,0.00085645
31,178.287,0.52828,0.54005,1.13476,0.97245,0.98057,0.995,0.90931,0.47889,0.43834,1.2897,0.0008515,0.0008515,0.0008515
32,183.337,0.54358,0.56185,1.12519,0.98024,0.98082,0.995,0.88895,0.51973,0.45254,1.27552,0.00084655,0.00084655,0.00084655
